location,date,snow_depth
Arl,10/1/21,0
Arl,10/2/21,0
Arl,10/3/21,0
Arl,10/4/21,0
Arl,10/5/21,0
Arl,10/6/21,0
Arl,10/7/21,0
Arl,10/8/21,0
Arl,10/9/21,0
Arl,10/10/21,0
Arl,10/11/21,0
Arl,10/12/21,0
Arl,10/13/21,0
Arl,10/14/21,0
Arl,10/15/21,0
Arl,10/16/21,0
Arl,10/17/21,0
Arl,10/18/21,0
Arl,10/19/21,0
Arl,10/20/21,0
Arl,10/21/21,0
Arl,10/22/21,0
Arl,10/23/21,0
Arl,10/24/21,0
Arl,10/25/21,0
Arl,10/26/21,0
Arl,10/27/21,0
Arl,10/28/21,0
Arl,10/29/21,0
Arl,10/30/21,0
Arl,10/31/21,0
Arl,11/1/21,0
Arl,11/2/21,0
Arl,11/3/21,0
Arl,11/4/21,0
Arl,11/5/21,0
Arl,11/6/21,0
Arl,11/7/21,0
Arl,11/8/21,0
Arl,11/9/21,0
Arl,11/10/21,0
Arl,11/11/21,0
Arl,11/12/21,0
Arl,11/13/21,14
Arl,11/14/21,20
Arl,11/15/21,23
Arl,11/16/21,14
Arl,11/17/21,0
Arl,11/18/21,0
Arl,11/19/21,0
Arl,11/20/21,0
Arl,11/21/21,0
Arl,11/22/21,0
Arl,11/23/21,0
Arl,11/24/21,0
Arl,11/25/21,0
Arl,11/26/21,0
Arl,11/27/21,0
Arl,11/28/21,0
Arl,11/29/21,0
Arl,11/30/21,0
Arl,12/1/21,0
Arl,12/2/21,0
Arl,12/3/21,0
Arl,12/4/21,9
Arl,12/5/21,5
Arl,12/6/21,6
Arl,12/7/21,0
Arl,12/8/21,0
Arl,12/9/21,0
Arl,12/10/21,0
Arl,12/11/21,0
Arl,12/12/21,25
Arl,12/13/21,0
Arl,12/14/21,0
Arl,12/15/21,0
Arl,12/16/21,0
Arl,12/17/21,0
Arl,12/18/21,0
Arl,12/19/21,0
Arl,12/20/21,0
Arl,12/21/21,0
Arl,12/22/21,0
Arl,12/23/21,0
Arl,12/24/21,0
Arl,12/25/21,0
Arl,12/26/21,0
Arl,12/27/21,51
Arl,12/28/21,62
Arl,12/29/21,130
Arl,12/30/21,120
Arl,12/31/21,75
Arl,1/1/22,74
Arl,1/2/22,71
Arl,1/3/22,69
Arl,1/4/22,66
Arl,1/5/22,60
Arl,1/6/22,67
Arl,1/7/22,65
Arl,1/8/22,72
Arl,1/9/22,69
Arl,1/10/22,65
Arl,1/11/22,70
Arl,1/12/22,64
Arl,1/13/22,54
Arl,1/14/22,55
Arl,1/15/22,55
Arl,1/16/22,54
Arl,1/17/22,55
Arl,1/18/22,53
Arl,1/19/22,51
Arl,1/20/22,48
Arl,1/21/22,48
Arl,1/22/22,45
Arl,1/23/22,79
Arl,1/24/22,98
Arl,1/25/22,147
Arl,1/26/22,141
Arl,1/27/22,135
Arl,1/28/22,123
Arl,1/29/22,119
Arl,1/30/22,115
Arl,1/31/22,113
Arl,2/1/22,92
Arl,2/2/22,67
Arl,2/3/22,64
Arl,2/4/22,62
Arl,2/5/22,63
Arl,2/6/22,60
Arl,2/7/22,57
Arl,2/8/22,56
Arl,2/9/22,19
Arl,2/10/22,22
Arl,2/11/22,22
Arl,2/12/22,18
Arl,2/13/22,17
Arl,2/14/22,16
Arl,2/15/22,16
Arl,2/16/22,13
Arl,2/17/22,0
Arl,2/18/22,0
Arl,2/19/22,0
Arl,2/20/22,0
Arl,2/21/22,0
Arl,2/22/22,2
Arl,2/23/22,35
Arl,2/24/22,32
Arl,2/25/22,40
Arl,2/26/22,144
Arl,2/27/22,129
Arl,2/28/22,118
Arl,3/1/22,51
Arl,3/2/22,28
Arl,3/3/22,21
Arl,3/4/22,19
Arl,3/5/22,16
Arl,3/6/22,0
Arl,3/7/22,0
Arl,3/8/22,63
Arl,3/9/22,76
Arl,3/10/22,67
Arl,3/11/22,62
Arl,3/12/22,16
Arl,3/13/22,11
Arl,3/14/22,0
Arl,3/15/22,0
Arl,3/16/22,0
Arl,3/17/22,0
Arl,3/18/22,0
Arl,3/19/22,48
Arl,3/20/22,13
Arl,3/21/22,0
Arl,3/22/22,0
Arl,3/23/22,0
Arl,3/24/22,0
Arl,3/25/22,17
Arl,3/26/22,0
Arl,3/27/22,0
Arl,3/28/22,0
Arl,3/29/22,0
Arl,3/30/22,0
Arl,3/31/22,0
Arl,4/1/22,69
Arl,4/2/22,48
Arl,4/3/22,82
Arl,4/4/22,33
Arl,4/5/22,0
Arl,4/6/22,0
Arl,4/7/22,0
Arl,4/8/22,0
Arl,4/9/22,7
Arl,4/10/22,0
Arl,4/11/22,0
Arl,4/12/22,0
Arl,4/13/22,0
Arl,4/14/22,0
Arl,4/15/22,0
