"","location","date","CAMERA","depth_G","depth_Etire","depth_Wtire","top_Etire","side_Etire","top_Wtire","side_Wtire","depth_Stire","top_Stire","side_Stire","snow_depth","Network","City","ST","x","y"
"1","Arl",2021-10-06,TRUE,0,0,0,"n","n","n","n",0,"n","n",0,"ENWX","Arlington","WI",-89.40730747,43.33649469
"2","Arl",2021-10-07,TRUE,0,0,0,"n","n","n","n",0,"n","n",0,"ENWX","Arlington","WI",-89.40730747,43.33649469
"3","Arl",2021-10-08,TRUE,0,0,0,"n","n","n","n",0,"n","n",0,"ENWX","Arlington","WI",-89.40730747,43.33649469
"4","Arl",2021-10-09,TRUE,0,0,0,"n","n","n","n",0,"n","n",0,"ENWX","Arlington","WI",-89.40730747,43.33649469
"5","Arl",2021-10-10,TRUE,0,0,0,"n","n","n","n",0,"n","n",0,"ENWX","Arlington","WI",-89.40730747,43.33649469
"6","Arl",2021-10-11,TRUE,0,0,0,"n","n","n","n",0,"n","n",0,"ENWX","Arlington","WI",-89.40730747,43.33649469
"7","Arl",2021-10-12,TRUE,0,0,0,"n","n","n","n",0,"n","n",0,"ENWX","Arlington","WI",-89.40730747,43.33649469
"8","Arl",2021-10-13,TRUE,0,0,0,"n","n","n","n",0,"n","n",0,"ENWX","Arlington","WI",-89.40730747,43.33649469
"9","Arl",2021-10-14,TRUE,0,0,0,"n","n","n","n",0,"n","n",0,"ENWX","Arlington","WI",-89.40730747,43.33649469
"10","Arl",2021-10-15,TRUE,0,0,0,"n","n","n","n",0,"n","n",0,"ENWX","Arlington","WI",-89.40730747,43.33649469
"11","Arl",2021-10-16,TRUE,0,0,0,"n","n","n","n",0,"n","n",0,"ENWX","Arlington","WI",-89.40730747,43.33649469
"12","Arl",2021-10-17,TRUE,0,0,0,"n","n","n","n",0,"n","n",0,"ENWX","Arlington","WI",-89.40730747,43.33649469
"13","Arl",2021-10-18,TRUE,0,0,0,"n","n","n","n",0,"n","n",0,"ENWX","Arlington","WI",-89.40730747,43.33649469
"14","Arl",2021-10-19,TRUE,0,0,0,"n","n","n","n",0,"n","n",0,"ENWX","Arlington","WI",-89.40730747,43.33649469
"15","Arl",2021-10-20,TRUE,0,0,0,"n","n","n","n",0,"n","n",0,"ENWX","Arlington","WI",-89.40730747,43.33649469
"16","Arl",2021-10-21,TRUE,0,0,0,"n","n","n","n",0,"n","n",0,"ENWX","Arlington","WI",-89.40730747,43.33649469
"17","Arl",2021-10-22,TRUE,0,0,0,"n","n","n","n",0,"n","n",0,"ENWX","Arlington","WI",-89.40730747,43.33649469
