"","loc.id","per.sur.live","SD_per.sur.live","JANmeanT","JANmeanT_sd","JANmedT","JANmeanA","JANmeanA_sd","JANmedA","DJFmeanT","DJFmeanT_sd","DJFmedT","DJFmeanA","DJFmeanA_sd","DJFmedA","MinT","MinA","MinD","DaysB12T","DaysB12A","MAXHrsB12conT","MAXHrsB12conA","GDD_10_DJF","GDD_n12_DJF","GDD_10_FULL","GDD_n12_FULL","FreThaT","FreThaA","site"
"1","CTR",0.184619185162663,NA,3.3,0.343683829564949,3.221,NA,NA,NA,3.25,0.344280027086175,3.248,NA,NA,NA,2.07,Inf,-Inf,NA,NA,NA,NA,0,1980,11.419875,4229.00320833333,NA,NA,""
"2","IL_Bon_T1",0.0053763440860215,NA,-4.6,6.21965018925771,-3.508,-5.6,5.86833438702821,-5.2,-0.9,7.02192898773369,-1.043,-1.54,7.35450221866601,-1.4,-21.32,-20.9,-0.420000000000002,20,22,17,20,19.6517083333333,1999.65170833333,254.747583333333,4472.33091666667,211,139,"Bon"
"3","IL_Bon_T2",0.0224899921161604,NA,-4.5,6.29113709505118,-3.479,-5.6,5.86833438702821,-5.2,-0.84,7.10418087313202,-1.015,-1.54,7.35450221866601,-1.4,-20.79,-20.9,0.109999999999999,20,22,17,20,20.8490416666667,2000.84904166667,253.2615,4470.84483333333,211,139,"Bon"
"4","IL_Car_T1",0.665346395383413,NA,-0.4,6.10476872098815,-0.873,-1.1,5.84171067532291,-1,3.52,8.00293216985898,2.584,3.32,8.00410390963578,2.5,-15.79,-15.4,-0.389999999999999,8,7,8,7,99.3986666666667,2079.39866666667,502.210791666667,4719.794125,201,121,"Car"
"5","IL_Car_T2",0.454630970600219,NA,-0.2,6.21667012757583,-0.732,-1.1,5.84171067532291,-1,3.71,8.02005797430704,2.744,3.32,8.00410390963578,2.5,-14.95,-15.4,0.450000000000001,6,7,7,7,104.205375,2084.205375,504.922625,4722.50595833333,191,121,"Car"
"6","IL_Dek_T1",0,NA,-7.6,6.46812309953716,-7.251,-9.3,6.1145856569607,-9.3,-3.29,7.36237152748618,-2.771,-4.45,7.26732748451095,-4,-23.89,-27.3,3.41,36,37,18,66,13.740875,1993.740875,215.301041666667,4432.884375,237,154,"Dek"
"7","IL_Dek_T2",0.256316279081634,NA,-6.7,5.01624038288618,-6.262,-9.3,6.1145856569607,-9.3,-2.95,6.3447173955607,-2.625,-4.45,7.26732748451095,-4,-20.07,-27.3,7.23,26,37,16,66,8.847125,1988.847125,193.8395,4411.42283333333,213,154,"Dek"
"8","WI_Arl_T1",0,NA,-7.2,4.72341255109156,-6.898,-11.5,6.60152845217148,-11.8,-4.63,6.11849036567009,-4.651,-6.96,7.36895972789213,-6.7,-20.79,-31,10.21,35,49,18,54,5.491,1985.491,146.944583333333,4364.52791666667,239,184,"Arl"
"9","WI_Arl_T2",0,NA,NA,NA,NA,-11.5,6.60152845217148,-11.8,NA,NA,NA,-6.96,7.36895972789213,-6.7,Inf,-31,Inf,NA,49,1,54,0,0,0,0,4601,184,"Arl"
"10","WI_Han_T1",0,NA,-9.5,5.74310414322412,-9.066,-11.5,6.91342348765836,-11.2,-6.46,6.62781251435456,-6.168,-7.5,7.41142630380819,-7.2,-27.21,-30.5,3.29,45,53,27,58,3.16625,1983.16625,150.468208333333,4368.05154166667,241,525,"Han"
"11","WI_Han_T2",0,NA,-9.5,6.75099710091175,-8.797,-11.5,6.91342348765836,-11.2,-6.41,7.26966069871425,-6.073,-7.5,7.41142630380819,-7.2,-29.66,-30.5,0.84,50,53,28,58,4.62216666666667,1984.62216666667,159.412,4376.99533333333,259,525,"Han"
"12","WI_Spo_T1",0,NA,-8.8,5.16843635146,-8.132,-13.8,7.71566609549969,-13.2777777777778,-7.02,5.50500930954769,-6.357,-10.55,8.1773728573995,-10.0555555555556,-23.3,-31.94,8.64,43,72,20,105,0.47625,1980.47625,112.913666666667,4330.497,171,132,"Spo"
"13","WI_Spo_T2",0,NA,-7.9,4.4969111443589,-7.316,-13.8,7.71566609549969,-13.2777777777778,-6.48,4.94733842386843,-5.823,-10.55,8.1773728573995,-10.0555555555556,-22.57,-31.94,9.37,33,72,20,105,0.19075,1980.19075,105.764125,4323.34745833333,161,132,"Spo"
