number,site,sheet,id,loc.id,egg1,egg1b,live.hatch1,live.hatch2,live.hatch3,live.hatch4,dead.hatch1,dead.hatch2,dead.hatch3,dead.hatch4,x,y,tire_num,ABC,avg.egg,total.live,total.dead,total.hatch,pro.live,per.sur.live,rel.per.sur.live,per.red.live,JANmeanT,JANmeanA,JANmeanD,DJFmeanT,DJFmeanA,DJFmeanD,MinT,MinA,MinD,FFrostT,FFrostA,DaysB12T,DaysB12A,MAXHrsB12conT,MAXHrsB12conA,FreThaT,FreThaA,GDD_10_DJF,GDD_n12_DJF
0,CTR,A,A.11,CTR,233,226,0,9,1,1,7,2,1,2,NA,NA,,E,230,11,12,23,0.47826087,0.047826087,NA,NA,3.3,NA,NA,3.25,NA,NA,2.07,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,0,1980
0,CTR,B,B.03,CTR,161,191,1,32,2,6,5,7,3,0,NA,NA,,E,176,41,15,56,0.732142857,0.232954545,NA,NA,3.3,NA,NA,3.25,NA,NA,2.07,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,0,1980
0,CTR,C,C.10,CTR,265,256,1,28,6,36,16,5,2,1,NA,NA,,E,260,71,24,95,0.747368421,0.273076923,NA,NA,3.3,NA,NA,3.25,NA,NA,2.07,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,0,1980
1,Spo,A,A.06,WI_Spo_T1,135,146,0,0,0,0,8,0,0,0,-91.87564688,45.82318758,T1,E,140,0,8,8,0,0,NA,NA,-8.8,-13.8,5,-7.02,-10.55,3.53,-23.3,-31.94,8.64,10/16/21 07:00,10/17/21 08:00,43,72,20,105,171,262,0.47625,1980.47625
1,Spo,B,B.13,WI_Spo_T1,216,206,0,0,0,0,3,0,0,1,-91.87564688,45.82318758,T1,E,211,0,4,4,0,0,NA,NA,-8.8,-13.8,5,-7.02,-10.55,3.53,-23.3,-31.94,8.64,10/16/21 07:00,10/17/21 08:00,43,72,20,105,171,262,0.47625,1980.47625
1,Spo,C,C.14,WI_Spo_T1,466,475,0,0,0,0,13,0,0,0,-91.87564688,45.82318758,T1,E,470,0,13,13,0,0,NA,NA,-8.8,-13.8,5,-7.02,-10.55,3.53,-23.3,-31.94,8.64,10/16/21 07:00,10/17/21 08:00,43,72,20,105,171,262,0.47625,1980.47625
2,Spo,B,B.10,WI_Spo_T2,276,283,0,0,0,0,2,0,0,0,-91.87564688,45.82318758,T2,W,280,0,2,2,0,0,NA,NA,-7.9,-13.8,5.9,-6.48,-10.55,4.07,-22.57,-31.94,9.37,10/17/21 01:00,10/17/21 08:00,33,72,20,105,161,262,0.19075,1980.19075
2,Spo,C,C.03,WI_Spo_T2,428,438,0,0,0,0,21,1,0,0,-91.87564688,45.82318758,T2,W,433,0,22,22,0,0,NA,NA,-7.9,-13.8,5.9,-6.48,-10.55,4.07,-22.57,-31.94,9.37,10/17/21 01:00,10/17/21 08:00,33,72,20,105,161,262,0.19075,1980.19075
2,Spo,A,A.02,WI_Spo_T2,102,94,0,0,0,0,9,0,0,0,-91.87564688,45.82318758,T2,W,98,0,9,9,0,0,NA,NA,-7.9,-13.8,5.9,-6.48,-10.55,4.07,-22.57,-31.94,9.37,10/17/21 01:00,10/17/21 08:00,33,72,20,105,161,262,0.19075,1980.19075
3,Han,A,A.09,WI_Han_T1,194,197,0,0,0,0,2,0,2,1,-89.53542263,44.12137843,T1,E,196,0,5,5,0,0,NA,NA,-9.5,-11.5,2,-6.46,-7.5,1.04,-27.21,-30.5,3.29,10/17/21 01:00,10/22/21 02:00,45,53,27,58,241,655,3.16625,1983.16625
