"","number","X","site","sheet_id","sheet","loc.id","egg1","egg1b","live.hatch1","live.hatch2","live.hatch3","live.hatch4","dead.hatch1","dead.hatch2","dead.hatch3","dead.hatch4","x","y","tire_num","ABC","avg.egg","total.live","total.dead","total.hatch","pro.live","per.sur.live","rel.per.sur.live","per.red.live","JANmeanT","JANmeanA","JANmedT","JANmedA","std.JANmeanT","std.JANmeanA","JANmeanD","DJFmeanT","DJFmeanA","DJFmedT","DJFmedA","std.DJFmeanT","std.DJFmeanA","DJFmeanD","MinT","MinA","MinD","FFrostT","FFrostA","DaysB12T","DaysB12A","MAXHrsB12conT","MAXHrsB12conA","FreThaT","FreThaA","GDD_10_DJF","GDD_n12_DJF","GDD_10_FULL","GDD_n12_FULL"
"1","0",43,NA,"B","B.03","CTR",161,191,1,32,2,6,5,7,3,0,NA,NA,"","E",176,41,15,56,0.732142857142857,0.232954545454545,1,0,3.3,NA,3.221,NA,0.343683829564949,NA,NA,3.25,NA,3.248,NA,0.344280027086175,NA,NA,2.07,Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,0,1980,11.419875,4229.00320833333
"2","0",44,NA,"C","C.10","CTR",265,256,1,28,6,36,16,5,2,1,NA,NA,"","E",260,71,24,95,0.747368421052632,0.273076923076923,1,0,3.3,NA,3.221,NA,0.343683829564949,NA,NA,3.25,NA,3.248,NA,0.344280027086175,NA,NA,2.07,Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,0,1980,11.419875,4229.00320833333
"3","0",45,NA,"A","A.11","CTR",233,226,0,9,1,1,7,2,1,2,NA,NA,"","E",230,11,12,23,0.478260869565217,0.0478260869565217,1,0,3.3,NA,3.221,NA,0.343683829564949,NA,NA,3.25,NA,3.248,NA,0.344280027086175,NA,NA,2.07,Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,0,1980,11.419875,4229.00320833333
"4","1",38,"Spo","C","C.14","WI_Spo_T1",466,475,0,0,0,0,13,0,0,0,-91.87564688,45.82318758,"T1","E",470,0,13,13,0,0,0,Inf,-8.8,-13.8,-8.132,-13.2777777777778,5.16843635146,7.71566609549969,5,-7.02,-10.55,-6.357,-10.0555555555556,5.50500930954769,8.1773728573995,3.53,-23.3,-31.94,8.64,2021-10-16 07:00:00,2021-10-17 08:00:00,43,72,20,105,171,132,0.47625,1980.47625,112.913666666667,4330.497
"5","1",37,"Spo","A","A.06","WI_Spo_T1",135,146,0,0,0,0,8,0,0,0,-91.87564688,45.82318758,"T1","E",140,0,8,8,0,0,0,Inf,-8.8,-13.8,-8.132,-13.2777777777778,5.16843635146,7.71566609549969,5,-7.02,-10.55,-6.357,-10.0555555555556,5.50500930954769,8.1773728573995,3.53,-23.3,-31.94,8.64,2021-10-16 07:00:00,2021-10-17 08:00:00,43,72,20,105,171,132,0.47625,1980.47625,112.913666666667,4330.497
"6","1",42,"Spo","B","B.13","WI_Spo_T1",216,206,0,0,0,0,3,0,0,1,-91.87564688,45.82318758,"T1","E",211,0,4,4,0,0,0,Inf,-8.8,-13.8,-8.132,-13.2777777777778,5.16843635146,7.71566609549969,5,-7.02,-10.55,-6.357,-10.0555555555556,5.50500930954769,8.1773728573995,3.53,-23.3,-31.94,8.64,2021-10-16 07:00:00,2021-10-17 08:00:00,43,72,20,105,171,132,0.47625,1980.47625,112.913666666667,4330.497
"7","2",40,"Spo","B","B.10","WI_Spo_T2",276,283,0,0,0,0,2,0,0,0,-91.87564688,45.82318758,"T2","W",280,0,2,2,0,0,0,Inf,-7.9,-13.8,-7.316,-13.2777777777778,4.4969111443589,7.71566609549969,5.9,-6.48,-10.55,-5.823,-10.0555555555556,4.94733842386843,8.1773728573995,4.07,-22.57,-31.94,9.37,2021-10-17 01:00:00,2021-10-17 08:00:00,33,72,20,105,161,132,0.19075,1980.19075,105.764125,4323.34745833333
"8","2",41,"Spo","C","C.03","WI_Spo_T2",428,438,0,0,0,0,21,1,0,0,-91.87564688,45.82318758,"T2","W",433,0,22,22,0,0,0,Inf,-7.9,-13.8,-7.316,-13.2777777777778,4.4969111443589,7.71566609549969,5.9,-6.48,-10.55,-5.823,-10.0555555555556,4.94733842386843,8.1773728573995,4.07,-22.57,-31.94,9.37,2021-10-17 01:00:00,2021-10-17 08:00:00,33,72,20,105,161,132,0.19075,1980.19075,105.764125,4323.34745833333
"9","2",39,"Spo","A","A.02","WI_Spo_T2",102,94,0,0,0,0,9,0,0,0,-91.87564688,45.82318758,"T2","W",98,0,9,9,0,0,0,Inf,-7.9,-13.8,-7.316,-13.2777777777778,4.4969111443589,7.71566609549969,5.9,-6.48,-10.55,-5.823,-10.0555555555556,4.94733842386843,8.1773728573995,4.07,-22.57,-31.94,9.37,2021-10-17 01:00:00,2021-10-17 08:00:00,33,72,20,105,161,132,0.19075,1980.19075,105.764125,4323.34745833333
"10","3",31,"Han","B","B.01","WI_Han_T1",224,212,0,0,0,0,6,0,1,0,-89.53542263,44.12137843,"T1","E",218,0,7,7,0,0,0,Inf,-9.5,-11.5,-9.066,-11.2,5.74310414322412,6.91342348765836,2,-6.46,-7.5,-6.168,-7.2,6.62781251435456,7.41142630380819,1.04,-27.21,-30.5,3.29,2021-10-17 01:00:00,2021-10-22 02:00:00,45,53,27,58,241,525,3.16625,1983.16625,150.468208333333,4368.05154166667
"11","3",32,"Han","C","C.15","WI_Han_T1",230,242,0,0,0,0,7,0,0,0,-89.53542263,44.12137843,"T1","E",236,0,7,7,0,0,0,Inf,-9.5,-11.5,-9.066,-11.2,5.74310414322412,6.91342348765836,2,-6.46,-7.5,-6.168,-7.2,6.62781251435456,7.41142630380819,1.04,-27.21,-30.5,3.29,2021-10-17 01:00:00,2021-10-22 02:00:00,45,53,27,58,241,525,3.16625,1983.16625,150.468208333333,4368.05154166667
"12","3",35,"Han","A","A.09","WI_Han_T1",194,197,0,0,0,0,2,0,2,1,-89.53542263,44.12137843,"T1","E",196,0,5,5,0,0,0,Inf,-9.5,-11.5,-9.066,-11.2,5.74310414322412,6.91342348765836,2,-6.46,-7.5,-6.168,-7.2,6.62781251435456,7.41142630380819,1.04,-27.21,-30.5,3.29,2021-10-17 01:00:00,2021-10-22 02:00:00,45,53,27,58,241,525,3.16625,1983.16625,150.468208333333,4368.05154166667
"13","4",33,"Han","B","B.11","WI_Han_T2",297,281,0,0,0,0,10,0,0,0,-89.53542263,44.12137843,"T2","W",289,0,10,10,0,0,0,Inf,-9.5,-11.5,-8.797,-11.2,6.75099710091175,6.91342348765836,2,-6.41,-7.5,-6.073,-7.2,7.26966069871425,7.41142630380819,1.09,-29.66,-30.5,0.84,2021-10-17 01:00:00,2021-10-22 02:00:00,50,53,28,58,259,525,4.62216666666667,1984.62216666667,159.412,4376.99533333333
"14","4",34,"Han","C","C.11","WI_Han_T2",224,231,0,0,0,0,4,0,0,0,-89.53542263,44.12137843,"T2","W",228,0,4,4,0,0,0,Inf,-9.5,-11.5,-8.797,-11.2,6.75099710091175,6.91342348765836,2,-6.41,-7.5,-6.073,-7.2,7.26966069871425,7.41142630380819,1.09,-29.66,-30.5,0.84,2021-10-17 01:00:00,2021-10-22 02:00:00,50,53,28,58,259,525,4.62216666666667,1984.62216666667,159.412,4376.99533333333
"15","4",36,"Han","A","A.15","WI_Han_T2",145,156,0,0,0,0,13,0,1,1,-89.53542263,44.12137843,"T2","W",150,0,15,15,0,0,0,Inf,-9.5,-11.5,-8.797,-11.2,6.75099710091175,6.91342348765836,2,-6.41,-7.5,-6.073,-7.2,7.26966069871425,7.41142630380819,1.09,-29.66,-30.5,0.84,2021-10-17 01:00:00,2021-10-22 02:00:00,50,53,28,58,259,525,4.62216666666667,1984.62216666667,159.412,4376.99533333333
"16","5",20,"Arl","B","B.06","WI_Arl_T1",281,273,0,0,0,0,4,2,1,0,-89.40730747,43.33649469,"T1","E",277,0,7,7,0,0,0,Inf,-7.2,-11.5,-6.898,-11.8,4.72341255109156,6.60152845217148,4.3,-4.63,-6.96,-4.651,-6.7,6.11849036567009,7.36895972789213,2.33,-20.79,-31,10.21,2021-10-17 06:00:00,2021-10-22 03:00:00,35,49,18,54,239,184,5.491,1985.491,146.944583333333,4364.52791666667
"17","5",21,"Arl","C","C.13","WI_Arl_T1",413,433,0,0,0,0,3,0,1,0,-89.40730747,43.33649469,"T1","E",423,0,4,4,0,0,0,Inf,-7.2,-11.5,-6.898,-11.8,4.72341255109156,6.60152845217148,4.3,-4.63,-6.96,-4.651,-6.7,6.11849036567009,7.36895972789213,2.33,-20.79,-31,10.21,2021-10-17 06:00:00,2021-10-22 03:00:00,35,49,18,54,239,184,5.491,1985.491,146.944583333333,4364.52791666667
"18","5",19,"Arl","A","A.12","WI_Arl_T1",98,92,0,0,0,0,3,1,0,0,-89.40730747,43.33649469,"T1","E",95,0,4,4,0,0,0,Inf,-7.2,-11.5,-6.898,-11.8,4.72341255109156,6.60152845217148,4.3,-4.63,-6.96,-4.651,-6.7,6.11849036567009,7.36895972789213,2.33,-20.79,-31,10.21,2021-10-17 06:00:00,2021-10-22 03:00:00,35,49,18,54,239,184,5.491,1985.491,146.944583333333,4364.52791666667
"19","6",24,"Arl","C","C.04","WI_Arl_T2",425,417,0,0,0,0,7,0,9,0,-89.40730747,43.33649469,"T2","W",421,0,16,16,0,0,0,Inf,NA,-11.5,NA,-11.8,NA,6.60152845217148,NA,NA,-6.96,NA,-6.7,NA,7.36895972789213,NA,Inf,-31,Inf,NA,2021-10-22 03:00:00,NA,49,1,54,4601,184,0,0,0,0
"20","6",22,"Arl","A","A.04","WI_Arl_T2",173,144,0,0,0,0,9,0,0,0,-89.40730747,43.33649469,"T2","W",158,0,9,9,0,0,0,Inf,NA,-11.5,NA,-11.8,NA,6.60152845217148,NA,NA,-6.96,NA,-6.7,NA,7.36895972789213,NA,Inf,-31,Inf,NA,2021-10-22 03:00:00,NA,49,1,54,4601,184,0,0,0,0
"21","6",23,"Arl","B","B.09","WI_Arl_T2",301,287,0,0,0,0,5,0,0,0,-89.40730747,43.33649469,"T2","W",294,0,5,5,0,0,0,Inf,NA,-11.5,NA,-11.8,NA,6.60152845217148,NA,NA,-6.96,NA,-6.7,NA,7.36895972789213,NA,Inf,-31,Inf,NA,2021-10-22 03:00:00,NA,49,1,54,4601,184,0,0,0,0
