"","site","sheet_id","sheet","loc.id","number","egg1","egg1b","live.hatch1","live.hatch2","live.hatch3","live.hatch4","dead.hatch1","dead.hatch2","dead.hatch3","dead.hatch4","x","y","tire_num","ABC","avg.egg","total.live","total.dead","total.hatch","pro.live","per.sur.live","rel.per.sur.live","per.red.live"
"1","Bon","A","A.13","IL_Bon_T1",10,96,96,0,0,0,0,5,0,0,0,-89.24352498,40.04947272,"T1","E",96,0,5,5,0,0,0,Inf
"2","Bon","B","B.02","IL_Bon_T1",10,187,184,3,0,0,0,4,4,0,0,-89.24352498,40.04947272,"T1","E",186,3,8,11,0.272727272727273,0.0161290322580645,0.0692368214004721,13.4431818181818
"3","Bon","C","C.05","IL_Bon_T1",10,470,455,0,0,0,0,2,17,0,0,-89.24352498,40.04947272,"T1","E",462,0,19,19,0,0,0,Inf
"4","Bon","B","B.14","IL_Bon_T2",11,195,175,1,0,0,0,3,11,0,0,-89.24352498,40.04947272,"T2","W",185,1,14,15,0.0666666666666667,0.00540540540540541,0.0232036914963744,42.0965909090909
"5","Bon","A","A.10","IL_Bon_T2",11,114,107,0,4,0,0,7,6,0,1,-89.24352498,40.04947272,"T2","W",110,4,14,18,0.222222222222222,0.0363636363636364,0.760330578512397,0.315217391304348
"6","Bon","C","C.07","IL_Bon_T2",11,419,438,1,8,2,0,1,6,2,1,-89.24352498,40.04947272,"T2","W",428,11,10,21,0.523809523809524,0.0257009345794393,0.0941160984599184,9.62517482517482
"7","Car","A","A.01","IL_Car_T1",12,85,70,61,8,1,0,9,4,0,0,-88.38075793,37.69977514,"T1","E",77.5,70,13,83,0.843373493975904,0.903225806451613,18.8856304985337,-0.947049689440994
"8","Car","B","B.15","IL_Car_T1",12,206,189,18,66,1,1,7,8,0,0,-88.38075793,37.69977514,"T1","E",198,86,15,101,0.851485148514851,0.434343434343434,1.86449864498645,-0.463662790697674
"9","Car","A","A.08","IL_Car_T2",13,179,189,60,25,4,0,6,9,1,0,-88.38075793,37.69977514,"T2","W",184,89,16,105,0.847619047619048,0.483695652173913,10.1136363636364,-0.901123595505618
"10","Car","B","B.07","IL_Car_T2",13,257,241,120,10,8,0,3,4,2,0,-88.38075793,37.69977514,"T2","W",249,138,9,147,0.938775510204082,0.55421686746988,2.37907728474875,-0.579668972332016
"11","Car","C","C.08","IL_Car_T2",13,410,406,99,31,3,0,9,7,1,0,-88.38075793,37.69977514,"T2","W",408,133,17,150,0.886666666666667,0.325980392156863,1.19373101353217,-0.16229034123771
