"","number","Date","MeanT_Air","MeanT_Tire","MeanT_Soil","MinT_Air","MinT_Tire","MinT_Soil","MaxT_Air","MaxT_Tire","MaxT_Soil","MeanT_Diff","MinT_Diff","MaxT_Diff","location","depth_G","snodas","depth_T","cover_T","cover_S","x","y","ABC","cover"
"1","1",2021-10-06,20.1851851851852,22.6705833333333,20.0043333333333,16.6666666666667,14.218,15.819,22.7777777777778,33.469,24.436,2.48539814814813,-2.4486666666667,10.6912222222222,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"2","1",2021-10-07,16.7453703703704,18.6178333333333,17.7035833333333,11.4444444444444,10.026,12.751,23.6111111111111,34.651,24.823,1.87246296296297,-1.4184444444444,11.0398888888889,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"3","1",2021-10-08,17.0902777777778,17.71125,18.1664166666667,16.1666666666667,15.27,16.749,19.2222222222222,22.298,21.867,0.620972222222225,-0.8966666666667,3.0757777777778,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"4","1",2021-10-09,18.7268518518519,20.027125,18.9217916666667,14.4444444444444,13.233,15.175,24.7777777777778,30.976,25.065,1.30027314814815,-1.2114444444444,6.1982222222222,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"5","1",2021-10-10,19.5694444444444,20.318375,18.5973333333333,14.2777777777778,13.714,14.194,24.8333333333333,30.243,24.146,0.748930555555564,-0.563777777777799,5.4096666666667,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"6","1",2021-10-11,13.6944444444444,16.2408333333333,15.712875,11.3333333333333,11.346,12.823,17.8333333333333,28.99,21.294,2.54638888888889,0.0126666666666999,11.1566666666667,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"7","1",2021-10-12,15.0324074074074,16.2864166666667,16.2705,13.3888888888889,13.377,14.29,17.6666666666667,22.537,20.388,1.25400925925926,-0.0118888888888993,4.8703333333333,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"8","1",2021-10-13,15.2083333333333,15.2694166666667,15.028625,12.1666666666667,11.2,12.92,18.2222222222222,21.557,17.843,0.0610833333333414,-0.966666666666701,3.3347777777778,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"9","1",2021-10-14,10.2407407407407,10.0942916666667,10.4174583333333,8.72222222222222,7.895,8.767,15.1111111111111,12.823,12.437,-0.146449074074068,-0.82722222222222,-2.2881111111111,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"10","1",2021-10-15,7.38194444444445,7.40875,8.61391666666667,3.72222222222222,1.126,4.895,11.0555555555556,18.033,14.314,0.0268055555555531,-2.59622222222222,6.9774444444444,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"11","1",2021-10-16,7.49305555555556,8.33066666666667,9.124,1.11111111111111,-0.62,3.538,15.2777777777778,23.064,16.511,0.837611111111111,-1.73111111111111,7.7862222222222,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"12","1",2021-10-17,7.79166666666667,8.45966666666667,9.52379166666667,-0.111111111111111,-2.015,3.063,17.7777777777778,26.818,18.961,0.667999999999997,-1.90388888888889,9.0402222222222,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"13","1",2021-10-18,12.1990740740741,12.476375,11.7465416666667,1.5,0.412,4.921,23.1111111111111,28.493,21.39,0.27730092592593,-1.088,5.3818888888889,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"14","1",2021-10-19,14.8541666666667,14.5374583333333,13.4775416666667,9.72222222222222,7.116,8.245,22.3888888888889,28.122,21.915,-0.316708333333336,-2.60622222222222,5.7331111111111,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"15","1",2021-10-20,9.81481481481481,9.69920833333333,10.8677083333333,7.72222222222222,7.519,8.965,11.3888888888889,13.449,12.775,-0.115606481481482,-0.20322222222222,2.0601111111111,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"16","1",2021-10-21,5.35416666666667,7.28845833333333,9.11475,-1,-2.392,4.246,8.61111111111111,17.701,15.175,1.93429166666667,-1.392,9.08988888888889,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"17","1",2021-10-22,0.680555555555556,1.774875,5.14679166666667,-3.5,-3.926,1.724,5.66666666666667,11.832,10.394,1.09431944444444,-0.426,6.16533333333333,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"18","1",2021-10-23,2.71527777777778,4.461375,6.3555,-2.55555555555556,-3.807,1.588,9.16666666666667,19.793,14.649,1.74609722222222,-1.25144444444444,10.6263333333333,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"19","1",2021-10-24,2.28472222222222,2.61404166666667,4.28608333333333,-3.44444444444444,-4.106,1.017,8.94444444444444,12.582,9.558,0.329319444444445,-0.66155555555556,3.63755555555556,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"20","1",2021-10-25,4.56481481481481,5.125625,5.39254166666667,-1.5,-3.153,1.317,10.7777777777778,17.534,12.098,0.560810185185186,-1.653,6.7562222222222,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"21","1",2021-10-26,3.99305555555556,3.91629166666667,4.67558333333333,-2.11111111111111,-3.419,1.044,11.0555555555556,16.153,10.222,-0.0767638888888915,-1.30788888888889,5.0974444444444,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"22","1",2021-10-27,7.83796296296296,7.057375,6.531375,5.94444444444445,4.194,4.298,11.3333333333333,10.026,8.145,-0.780587962962959,-1.75044444444445,-1.3073333333333,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"23","1",2021-10-28,7.77546296296296,8.03879166666667,8.09591666666667,5.94444444444445,5.514,6.763,10.2777777777778,11.297,9.854,0.263328703703703,-0.43044444444445,1.0192222222222,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"24","1",2021-10-29,8.0300925925926,8.60066666666667,8.68370833333333,1.44444444444445,-0.479,5.128,11.8888888888889,18.747,12.63,0.570574074074068,-1.92344444444445,6.8581111111111,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"25","1",2021-10-30,4.97222222222222,6.79166666666667,7.61733333333333,-1.16666666666667,-2.073,3.512,11.6666666666667,20.746,13.762,1.81944444444444,-0.90633333333333,9.0793333333333,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"26","1",2021-10-31,4.59722222222222,4.66158333333333,5.57104166666667,1.33333333333333,-0.676,2.637,7.44444444444444,12.968,9.386,0.0643611111111122,-2.00933333333333,5.52355555555556,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"27","1",2021-11-01,1.94212962962963,1.86529166666667,3.31204166666667,-1.22222222222222,-4.076,1.778,4.33333333333333,8.494,5.745,-0.0768379629629639,-2.85377777777778,4.16066666666667,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"28","1",2021-11-02,-0.199074074074074,-0.0234166666666667,2.38120833333333,-5.83333333333333,-7.058,1.044,2.5,7.217,5.231,0.175657407407407,-1.22466666666667,4.717,"Spo",20,0,20,"y","n",-91.87564688,45.82318758,"E","top"
"29","1",2021-11-03,0.844907407407407,1.10279166666667,2.831375,-4.22222222222222,-5.449,1.262,5.16666666666667,10.247,6.408,0.257884259259259,-1.22677777777778,5.08033333333333,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"30","1",2021-11-04,2.15046296296296,1.42704166666667,2.50495833333333,-5.11111111111111,-5.916,0.301,8.88888888888889,13.714,7.845,-0.723421296296296,-0.804888888888891,4.82511111111111,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"31","1",2021-11-05,7.51388888888889,6.99454166666667,4.85925,3.22222222222222,-0.116,1.344,13.0555555555556,15.724,9.632,-0.519347222222224,-3.33822222222222,2.6684444444444,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"32","1",2021-11-06,11.0671296296296,10.24825,7.82479166666667,5.55555555555556,1.208,4.973,17.3333333333333,21.509,12.799,-0.818879629629627,-4.34755555555556,4.1756666666667,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"33","1",2021-11-07,9.16203703703704,7.68529166666667,7.05716666666667,1.11111111111111,-0.507,3.354,16.5,21.581,12.968,-1.47674537037037,-1.61811111111111,5.081,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"34","1",2021-11-08,7.15972222222222,6.72095833333333,6.84333333333333,0.333333333333334,-1.527,4.194,11.6111111111111,16.368,10.394,-0.438763888888892,-1.86033333333333,4.7568888888889,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"35","1",2021-11-09,1.77546296296296,1.58245833333333,3.67941666666667,-5.11111111111111,-6.168,0.989,11.8888888888889,18.295,9.312,-0.193004629629627,-1.05688888888889,6.4061111111111,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"36","1",2021-11-10,3.99768518518518,2.87941666666667,3.16233333333333,-4,-4.651,0.852,10.3888888888889,10.785,6.102,-1.11826851851852,-0.651,0.3961111111111,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"37","1",2021-11-11,3.51388888888889,3.51958333333333,4.41070833333333,1.72222222222222,1.453,2.744,5.55555555555556,5.128,5.205,0.00569444444444489,-0.26922222222222,-0.42755555555556,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"38","1",2021-11-12,1.48842592592593,2.1665,3.566125,-0.0555555555555563,-0.06,2.343,3.5,8.618,6.56,0.678074074074074,-0.0044444444444437,5.118,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"39","1",2021-11-13,-0.87962962962963,-0.231041666666667,1.82683333333333,-2.16666666666667,-1.613,1.126,-0.0555555555555563,4.011,3.985,0.648587962962963,0.55366666666667,4.06655555555556,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"40","1",2021-11-14,-2.54166666666667,-1.47429166666667,1.472875,-4.55555555555556,-3.33,1.289,-1.66666666666667,0.218,1.561,1.067375,1.22555555555556,1.88466666666667,"Spo",100,23,60,"n","n",-91.87564688,45.82318758,"E","none"
"41","1",2021-11-15,-5.29861111111111,-3.175625,1.35925,-9.77777777777778,-9.303,0.852,0.166666666666665,10.98,1.832,2.12298611111111,0.47477777777778,10.8133333333333,"Spo",80,24,NA,"n","n",-91.87564688,45.82318758,"E","none"
"42","1",2021-11-16,0.805555555555556,0.14025,1.16870833333333,-4.72222222222222,-4.408,0.825,4.38888888888889,3.168,2.396,-0.665305555555556,0.314222222222219,-1.22088888888889,"Spo",40,50,20,"n","n",-91.87564688,45.82318758,"E","none"
"43","1",2021-11-17,1.3587962962963,0.839958333333333,1.52470833333333,-0.88888888888889,-1.413,0.715,3.94444444444445,5.024,3.248,-0.518837962962963,-0.52411111111111,1.07955555555555,"Spo",0,15,0,"n","n",-91.87564688,45.82318758,"E","none"
"44","1",2021-11-18,-2.01851851851852,-1.43604166666667,0.447458333333333,-3.44444444444444,-3.006,0.329,-1.05555555555555,0.632,0.66,0.582476851851851,0.43844444444444,1.68755555555555,"Spo",0,9,0,"n","n",-91.87564688,45.82318758,"E","none"
"45","1",2021-11-19,-2.99537037037037,-3.32641666666667,-0.0193333333333333,-8.05555555555556,-9.269,-0.227,0.722222222222221,4.089,0.301,-0.331046296296297,-1.21344444444444,3.36677777777778,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"46","1",2021-11-20,-0.164351851851851,-0.185875,-0.142375,-6.05555555555555,-6.642,-0.423,5.66666666666667,9.879,0.024,-0.0215231481481487,-0.58644444444445,4.21233333333333,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"47","1",2021-11-21,-3.12268518518519,-2.783625,-0.411875,-7.55555555555556,-8.264,-1.613,0.833333333333333,3.827,-0.032,0.339060185185186,-0.70844444444444,2.99366666666667,"Spo",20,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"48","1",2021-11-22,-7.81481481481481,-7.16891666666667,-1.864,-11.8333333333333,-13.013,-3.301,-3.61111111111111,-0.171,-0.339,0.645898148148149,-1.1796666666667,3.44011111111111,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
"49","1",2021-11-23,0.199074074074074,-0.988,-1.35616666666667,-9.38888888888889,-10.581,-3.065,7.66666666666667,9.509,-0.032,-1.18707407407407,-1.19211111111111,1.84233333333333,"Spo",0,0,0,"n","n",-91.87564688,45.82318758,"E","none"
