"","X","location","number","ABC","DateTime","Air_Temp","Tire","Tire_b","Soil","RH","Tire_RH","Solar","pcpn","dwpt","wdir","wspd","wspd_max","wstdv","Diff","Diff.S","Diff.ST","Diff.RH","Diff.b","condition","pull.date","sheet"
"1",1,"Arl","7","S",2021-10-06 12:00:00,21.5,22.848,NA,NA,65.5,36.347,1906.8,0,NA,100.9,3.9,6.5,18.2,1.348,NA,NA,-29.153,NA,"pull1",2021-11-30,"B.12"
"2",6,"Arl","7","S",2021-10-06 13:00:00,22.9,22.968,NA,NA,58.4,42.087,2037.7,0,NA,99.3,4.1,7,14.6,0.0680000000000014,NA,NA,-16.313,NA,"pull1",2021-11-30,"B.12"
"3",8,"Arl","7","S",2021-10-06 14:00:00,24.1,23.857,NA,NA,54.6,34.688,1975,0,NA,100.5,3.7,6.5,16.5,-0.243000000000002,NA,NA,-19.912,NA,"pull1",2021-11-30,"B.12"
"4",12,"Arl","7","S",2021-10-06 15:00:00,24.2,24.75,NA,NA,51.9,39.571,1796.2,0,NA,106.2,3.9,7.1,17.8,0.550000000000001,NA,NA,-12.329,NA,"pull1",2021-11-30,"B.12"
"5",14,"Arl","7","S",2021-10-06 16:00:00,23.9,23.761,NA,NA,53.1,45.089,1431.1,0,NA,96.2,4,7.2,16.6,-0.138999999999999,NA,NA,-8.011,NA,"pull1",2021-11-30,"B.12"
"6",16,"Arl","7","S",2021-10-06 17:00:00,23.1,27.899,NA,NA,54.8,48.857,939.2,0,NA,99.8,3.3,5.8,13.9,4.799,NA,NA,-5.943,NA,"pull1",2021-11-30,"B.12"
"7",21,"Arl","7","S",2021-10-06 18:00:00,21.3,22.106,NA,NA,60,59.196,403.8,0,NA,94.5,3.5,6.3,12.5,0.806000000000001,NA,NA,-0.804000000000002,NA,"pull1",2021-11-30,"B.12"
"8",23,"Arl","7","S",2021-10-06 19:00:00,18.5,17.011,NA,NA,68.3,75.4,30.2,0,NA,92.4,2.6,5,10.6,-1.489,NA,NA,7.10000000000001,NA,"pull1",2021-11-30,"B.12"
"9",27,"Arl","7","S",2021-10-06 20:00:00,16.4,14.649,NA,NA,76.7,85.459,0,0,NA,90.8,2.4,4,10.1,-1.751,NA,NA,8.759,NA,"pull1",2021-11-30,"B.12"
"10",28,"Arl","7","S",2021-10-06 21:00:00,15.5,13.786,NA,NA,80.2,89.099,0,0,NA,95.4,2,3.5,10.9,-1.714,NA,NA,8.899,NA,"pull1",2021-11-30,"B.12"
"11",31,"Arl","7","S",2021-10-06 22:00:00,14.9,13.353,NA,NA,85.1,93.204,0,0,NA,93,1.6,3.2,13.3,-1.547,NA,NA,8.104,NA,"pull1",2021-11-30,"B.12"
"12",34,"Arl","7","S",2021-10-06 23:00:00,15.2,14.96,NA,NA,91.2,96.462,0,0,NA,114.8,1.9,4.4,12.5,-0.239999999999998,NA,NA,5.262,NA,"pull1",2021-11-30,"B.12"
"13",39,"Arl","7","S",2021-10-07 00:00:00,15.6,15.461,NA,NA,93.3,94.112,0,0,NA,93.8,1.9,3.6,14.7,-0.138999999999999,NA,NA,0.811999999999998,NA,"pull1",2021-11-30,"B.12"
"14",41,"Arl","7","S",2021-10-07 01:00:00,15.5,15.605,NA,NA,93.7,93.654,0,0,NA,90.7,2.3,4.4,14,0.105,NA,NA,-0.0460000000000065,NA,"pull1",2021-11-30,"B.12"
"15",43,"Arl","7","S",2021-10-07 02:00:00,15.4,15.581,NA,NA,94.9,93.882,0,0,NA,73.3,1.8,3.4,14.5,0.180999999999999,NA,NA,-1.018,NA,"pull1",2021-11-30,"B.12"
"16",47,"Arl","7","S",2021-10-07 03:00:00,15.3,15.581,NA,NA,96,95.181,0,0,NA,75.2,1.6,3.4,13.2,0.280999999999999,NA,NA,-0.819000000000003,NA,"pull1",2021-11-30,"B.12"
"17",49,"Arl","7","S",2021-10-07 04:00:00,15.5,15.748,NA,NA,96.9,95.949,0,0,NA,67.8,1.3,2.8,17.9,0.247999999999999,NA,NA,-0.951000000000008,NA,"pull1",2021-11-30,"B.12"
"18",53,"Arl","7","S",2021-10-07 05:00:00,15.8,15.963,NA,NA,97.3,96.419,0,0,NA,52.6,1.3,2.6,14,0.162999999999998,NA,NA,-0.881,NA,"pull1",2021-11-30,"B.12"
"19",55,"Arl","7","S",2021-10-07 06:00:00,15.8,15.963,NA,NA,97.9,96.626,0,0,NA,48,1.4,3,13.7,0.162999999999998,NA,NA,-1.274,NA,"pull1",2021-11-30,"B.12"
"20",60,"Arl","7","S",2021-10-07 07:00:00,15.9,16.106,NA,NA,98.3,97.333,0,0,NA,61,1.8,3.8,13.8,0.206000000000001,NA,NA,-0.966999999999999,NA,"pull1",2021-11-30,"B.12"
"21",62,"Arl","7","S",2021-10-07 08:00:00,16,16.225,NA,NA,99.1,98.544,17.2,2.29,NA,54.8,0.9,2.9,15.2,0.225000000000001,NA,NA,-0.555999999999997,NA,"pull1",2021-11-30,"B.12"
"22",66,"Arl","7","S",2021-10-07 09:00:00,15.9,16.368,NA,NA,99.9,99.196,33.4,4.57,NA,42.9,1.5,3.2,12.2,0.467999999999998,NA,NA,-0.704000000000008,NA,"pull1",2021-11-30,"B.12"
"23",67,"Arl","7","S",2021-10-07 10:00:00,16.2,17.153,NA,NA,99.9,99.819,142.2,1.27,NA,52.9,2,3.8,12.7,0.952999999999999,NA,NA,-0.0810000000000031,NA,"pull1",2021-11-30,"B.12"
"24",70,"Arl","7","S",2021-10-07 11:00:00,16.7,17.653,NA,NA,99.9,99.829,227.2,1.27,NA,60.5,2.9,5,13.7,0.952999999999999,NA,NA,-0.0710000000000122,NA,"pull1",2021-11-30,"B.12"
"25",73,"Arl","7","S",2021-10-07 12:00:00,17.1,18.295,NA,NA,99.9,99.748,307.8,0.51,NA,68.5,3.1,5.3,14,1.195,NA,NA,-0.152000000000001,NA,"pull1",2021-11-30,"B.12"
"26",76,"Arl","7","S",2021-10-07 13:00:00,17.6,19.27,NA,NA,99.9,99.578,353.6,0,NA,82.2,3.3,5.9,12.9,1.67,NA,NA,-0.322000000000003,NA,"pull1",2021-11-30,"B.12"
"27",80,"Arl","7","S",2021-10-07 14:00:00,18.4,20.484,NA,NA,98.4,94.298,422.3,0,NA,84,3.6,6.7,13.1,2.084,NA,NA,-4.102,NA,"pull1",2021-11-30,"B.12"
"28",84,"Arl","7","S",2021-10-07 15:00:00,18.4,20.174,NA,NA,98.1,93.208,288.1,0,NA,90.4,4,6.8,12.7,1.774,NA,NA,-4.892,NA,"pull1",2021-11-30,"B.12"
"29",87,"Arl","7","S",2021-10-07 16:00:00,18.2,19.318,NA,NA,98,94.582,188.5,0,NA,91.3,4,7.4,13.5,1.118,NA,NA,-3.41800000000001,NA,"pull1",2021-11-30,"B.12"
