site,lon,lat
Bon,-89.24352498,40.04947272
Car,-88.38075793,37.69977514
Arl,-89.40730747,43.33649469
Han,-89.53542263,44.12137843
Spo,-91.87564688,45.82318758
Dek,-88.850903,41.841536
1,-88.12294,43.003423
2,-88.128222,43.001309
3,-88.131565,43.000019
4,-87.673117,41.647383
5,-87.671067,41.608071
6,-87.616662,41.482008
7,-87.898279,41.117232
8,-87.862122,41.107871
9,-87.868659,41.106065
10,-87.919874,42.122926
11,-88.179659,42.053534
12,-87.976986,42.028298
13,-88.214567,40.087254
14,-88.242336,40.092299
15,-88.255705,40.114505
