site,sheet,id,loc.id,egg1,eeg1b,live.hatch1,live.hatch2,live.hatch3,dead.hatch1,dead.hatch2,dead.hatch3,x,y
CTR,A,A.11,CTR,233,226,0,,,7,,,,
CTR,B,B.03,CTR,161,191,1,,,5,,,,
CTR,C,C.10,CTR,265,,1,,,16,,,,
Bon,A,A.13,IL_Bon_T1,96,96,0,0,,5,0,,-89.24352498,37.69977514
Bon,B,B.02,IL_Bon_T1,187,184,3,0,,4,4,,-89.24352498,37.69977514
Bon,C,C.05,IL_Bon_T1,470,455,0,0,,2,17,,-89.24352498,37.69977514
Bon,A,A.10,IL_Bon_T2,114,107,0,4,,7,6,,-89.24352498,37.69977514
Bon,B,B.14,IL_Bon_T2,195,175,1,0,,3,11,,-89.24352498,37.69977514
Bon,C,C.07,IL_Bon_T2,419,438,1,8,,1,6,,-89.24352498,37.69977514
Car,A,A.01,IL_Car_T1,69,56,61,8,,9,4,,-88.38075793,40.04947272
Car,B,B.15,IL_Car_T1,206,189,18,66,,7,8,,-88.38075793,40.04947272
Car,C,C.02,IL_Car_T1,366,366,182,40,,15,6,,-88.38075793,40.04947272
Car,A,A.08,IL_Car_T2,179,189,60,25,,6,9,,-88.38075793,40.04947272
Car,B,B.07,IL_Car_T2,257,241,120,10,,3,4,,-88.38075793,40.04947272
Car,C,C.08,IL_Car_T2,410,406,99,31,,9,7,,,
Dek,A,A.03,IL_Dek_T1,143,115,0,0,,2,6,,-88.850903,41.841536
Dek,B,B.08,IL_Dek_T1,343,314,0,0,,2,2,,-88.850903,41.841536
Dek,C,C.12,IL_Dek_T1,241,276,0,0,,1,7,,-88.850903,41.841536
Dek,A,A.14,IL_Dek_T2,121,130,44,2,,15,19,,-88.850903,41.841536
Dek,B,B.05,IL_Dek_T2,349,357,30,21,,12,5,,-88.850903,41.841536
Dek,C,C.09,IL_Dek_T2,459,480,87,9,,16,14,,-88.850903,41.841536
Arl,A,A.12,WI_Arl_T1,98,92,0,,,3,,,-89.40730747,43.33649469
Arl,B,B.06,WI_Arl_T1,281,273,0,,,4,,,-89.40730747,43.33649469
Arl,C,C.13,WI_Arl_T1,413,433,0,,,3,,,-89.40730747,43.33649469
Arl,A,A.04,WI_Arl_T2,173,144,0,,,9,,,-89.40730747,43.33649469
Arl,B,B.09,WI_Arl_T2,301,287,0,,,5,,,-89.40730747,43.33649469
Arl,C,C.04,WI_Arl_T2,425,417,0,,,7,,,-89.40730747,43.33649469
Arl,A,A.05,WI_Arl_T3,353,425,0,,,46,,,-89.40730747,43.33649469
Arl,A,A.07,WI_Arl_T3,171,218,0,,,1,,,-89.40730747,43.33649469
Arl,B,B.04,WI_Arl_T3,264,241,0,,,4,,,-89.40730747,43.33649469
Arl,B,B.12,WI_Arl_T3,317,306,1,,,8,,,-89.40730747,43.33649469
Arl,C,C.01,WI_Arl_T3,316,280,0,,,11,,,-89.40730747,43.33649469
Arl,C,C.06,WI_Arl_T3,518,500,0,,,13,,,-89.40730747,43.33649469
Han,A,A.09,WI_Han_T1,194,197,0,,,2,,,-89.53542263,44.12137843
Han,B,B.01,WI_Han_T1,224,212,0,,,6,,,-89.53542263,44.12137843
Han,C,C.15,WI_Han_T1,230,NA,0,,,7,,,-89.53542263,44.12137843
Han,A,A.15,WI_Han_T2,145,156,0,,,13,,,-89.53542263,44.12137843
Han,B,B.11,WI_Han_T2,297,281,0,,,10,,,-89.53542263,44.12137843
Han,C,C.11,WI_Han_T2,224,231,0,,,4,,,-89.53542263,44.12137843
Spo,A,A.06,WI_Spo_T1,135,146,0,,,8,,,-91.87564688,45.82318758
Spo,B,B.13,WI_Spo_T1,216,206,0,,,3,,,-91.87564688,45.82318758
Spo,C,C.14,WI_Spo_T1,466,475,0,,,13,,,-91.87564688,45.82318758
Spo,A,A.02,WI_Spo_T2,102,94,0,,,9,,,-91.87564688,45.82318758
Spo,B,B.10,WI_Spo_T2,276,283,0,,,2,,,-91.87564688,45.82318758
Spo,C,C.03,WI_Spo_T2,428,438,0,,,21,,,-91.87564688,45.82318758
